"","Overall"
"MSSubClass150",4.8910395501288
"MSSubClass160",18.7277527337456
"MSSubClass180",12.5881493732894
"MSSubClass190",3.99137662034575
"MSSubClass20",22.6494771367587
"MSSubClass30",22.1485945744701
"MSSubClass40",0.871464358481695
"MSSubClass45",1.7020264532452
"MSSubClass50",12.3303803485067
"MSSubClass60",37.4933511423885
"MSSubClass70",15.0280676870509
"MSSubClass75",1.72496315678315
"MSSubClass80",19.8069117028552
"MSSubClass85",8.54792979974221
"MSSubClass90",14.1390911005112
"LotFrontage",25.2465994340931
"LotArea",76.8446248144681
"NeighborhoodBlueste",6.28561575303785
"NeighborhoodBrDale",10.661750495048
"NeighborhoodBrkSide",9.29379479952022
"NeighborhoodClearCr",10.1807213689409
"NeighborhoodCollgCr",19.143405242996
"NeighborhoodCrawfor",23.8563760913041
"NeighborhoodEdwards",25.092619257182
"NeighborhoodGilbert",18.4771568242832
"NeighborhoodIDOTRR",4.7768386081549
"NeighborhoodMeadowV",20.6641810386358
"NeighborhoodMitchel",1.96452012671636
"NeighborhoodNAmes",17.7518218626481
"NeighborhoodNoRidge",18.4443456986429
"NeighborhoodNPkVill",16.5500441521101
"NeighborhoodNridgHt",17.6779441842772
"NeighborhoodNWAmes",11.4397305973803
"NeighborhoodOldTown",20.7216045196597
"NeighborhoodSawyer",9.13211101986846
"NeighborhoodSawyerW",8.16006465689656
"NeighborhoodSomerst",13.5131180965505
"NeighborhoodStoneBr",3.32886157365568
"NeighborhoodSWISU",10.9520459982248
"NeighborhoodTimber",5.22559749265734
"NeighborhoodVeenker",6.07033908136354
"OverallQual10",11.7785308150459
"OverallQual2",13.6659395627384
"OverallQual3",12.195498284731
"OverallQual4",36.3270176957799
"OverallQual5",38.4271031686884
"OverallQual6",37.1431735395738
"OverallQual7",47.0605767607625
"OverallQual8",34.4179963327921
"OverallQual9",29.0722797569985
"YearBuilt",66.97407023701
"YearRemodAdd",44.4145382702891
"Exterior1stAsphShn",4.8910395501288
"Exterior1stBrkComm",11.6302716577304
"Exterior1stBrkFace",11.0249212828446
"Exterior1stCBlock",4.8910395501288
"Exterior1stCemntBd",16.8859113909597
"Exterior1stcharacter",4.8910395501288
"Exterior1stHdBoard",12.1877021198624
"Exterior1stImStucc",4.8910395501288
"Exterior1stMetalSd",17.3773333599615
"Exterior1stPlywood",4.54087217215006
"Exterior1stStone",4.8910395501288
"Exterior1stStucco",1.78109970616943
"Exterior1stVinylSd",21.8642422603989
"Exterior1stWd Sdng",10.3116468645895
"Exterior1stWdShing",5.34797995482738
"MasVnrArea",34.5706355380247
"ExterQualFa",24.9530189455091
"ExterQualGd",33.0306703463356
"ExterQualTA",70.8129619792097
"BsmtFinType1BLQ",3.7268263938688
"BsmtFinType1GLQ",24.8947476302322
"BsmtFinType1LwQ",6.88128954625891
"BsmtFinType1NO",23.9040188156698
"BsmtFinType1Rec",4.68953688180803
"BsmtFinType1Unf",17.7389463569543
"BsmtFinSF1",71.1890781672393
"BsmtUnfSF",35.7772058551085
"TotalBsmtSF",80.1580563477932
"X2ndFlrSF",100
"BsmtFullBath",20.9637228698179
"FullBath",53.6027673690196
"HalfBath",36.4067543194047
"KitchenQualEx",38.0571044739456
"KitchenQualFa",8.97797228931553
"KitchenQualGd",36.5199761282204
"KitchenQualTA",29.1425545201638
"TotRmsAbvGrd",64.3393856284936
"Fireplaces",53.6887048230344
"FireplaceQuFa",2.89719065490611
"FireplaceQuGd",26.7350945699445
"FireplaceQuNO",51.6164693354251
"FireplaceQuPo",0
"FireplaceQuTA",13.392361986272
"GarageTypeAttchd",41.4038001447401
"GarageTypeBasment",0.115039132761834
"GarageTypeBuiltIn",12.0771899640383
"GarageTypeCarPort",11.0782944408351
"GarageTypeDetchd",33.5305656119489
"GarageTypeNO",19.226217730078
"GarageFinishNO",22.0888638700408
"GarageFinishRFn",18.903547561954
"GarageFinishUnf",30.4084279712756
"GarageArea",96.1892087355807
"WoodDeckSF",26.4230008390562
"OpenPorchSF",33.8807107362521
