"","Overall"
"MSSubClass",85.2934184104028
"MSZoning",24.3077140807628
"LotShape",4.77988436386928
"LotConfig",3.51809145523096
"Neighborhood",100
"Condition1",13.3855509520125
"BldgType",25.327400711141
"HouseStyle",29.2056926034654
"OverallQual",84.5699326959472
"OverallCond",18.7268187426458
"RoofStyle",9.58343709807142
"Exterior1st",34.6975634873336
"MasVnrType",16.6161101436101
"ExterQual",32.578412810937
"ExterCond",9.79603568311657
"Foundation",16.1865410717551
"BsmtQual",25.98969417573
"BsmtExposure",18.2892894270903
"BsmtFinType1",31.6936580189999
"HeatingQC",24.2869600310581
"CentralAir",23.9340466016173
"Electrical",0
"KitchenQual",33.8976139324286
"FireplaceQu",51.8184183894892
"GarageType",38.8577871013032
"GarageFinish",31.6672083153114
"GarageQual",12.7084960783246
"GarageCond",16.9539130436269
"PavedDrive",4.69771786630281
"Fence",14.1422710951549
"SaleType",4.68345119682685
"SaleCondition",11.9840618195796
